,Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
164,AlCoCrFeNiTi,AlCoCrFeNiTi0.5,AC,SS,2BCC+B2,6,2,M,[52],3d_Transition_Metal_Alloy_Family
165,AlCoCrFeNiTi,AlCoCrFeNiTi,AC,SS+IM,2BCC+B2,6,2,M,[52],3d_Transition_Metal_Alloy_Family
166,AlCoCrFeNiTi,AlCoCrFeNiTi1.5,AC,SS+IM,BCC+B2+C14,6,3,M,[52],3d_Transition_Metal_Alloy_Family
167,AlCoCrFeNiTi,AlCo1.5CrFeNiTi0.5,AC,SS,BCC+FCC,6,2,M,[66],3d_Transition_Metal_Alloy_Family
168,AlCoCrFeNiTi,AlCo2CrFeNiTi0.5,AC,SS,BCC+FCC,6,2,M,[66],3d_Transition_Metal_Alloy_Family
169,AlCoCrFeNiTi,AlCo3CrFeNiTi0.5,AC,SS,BCC+FCC,6,2,M,[66],3d_Transition_Metal_Alloy_Family
170,AlCoCrFeNiTi,Al1.5CoCrFeNiTi,AC,SS+IM,BCC+B2,6,2,M,[63],3d_Transition_Metal_Alloy_Family
171,AlCoCrFeNiTi,Al2CoCrFeNiTi,AC,SS+IM,BCC+B2,6,2,M,[63],3d_Transition_Metal_Alloy_Family
172,AlCoCrNiSi,Al0.43CoCr0.29NiSi0.14,AC,SS+IM,FCC+L10+L12,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
173,AlCoCrNiSi,Al0.8CoCrNiSi0.2,AC,SS+IM,BCC+B2+σ,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
174,AlCoCuFeNdNi,AlCoCuFeNdNi,AC,IM,Unk,6,3,OX,[31],3d_Transition_Metal_Alloy_Family
175,AlCoCuFeNi,AlCo0.2CuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
176,AlCoCuFeNi,AlCo0.5CuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
177,AlCoCuFeNi,AlCoCu0.5FeNi,AC,SS,BCC+FCC,5,2,"H, M",[2],3d_Transition_Metal_Alloy_Family
178,AlCoCuFeNi,AlCoCuFeNi,AC,SS,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
