Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,Al0.5CoCrFeNi,AC,SS,2FCC,5,2,,[24],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,BCC+FCC,5,2,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+350C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+500C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+650C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+800C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+950C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,H,[46],3d_Transition_Metal_Alloy_Family
